43x20,520x26,287x81
13x10,206x40,117x67
381x53,217x86,426x44
73x54,5x41,211x13
140x44,341x15,444x86
348x40,354x51,299x2
365x84,533x61,429x62
363x90,472x72,216x80
185x25,441x43,547x35
73x41,345x70,361x34
118x33,440x71,52x50
545x53,402x8,92x90
203x71,192x51,205x96
269x94,234x58,406x78
403x66,433x51,354x66
173x38,217x18,163x94
134x92,176x62,222x3
435x81,6x85,376x4
116x59,313x29,25x59
424x36,25x58,298x50
168x99,47x93,231x33
529x27,382x35,151x89
460x79,51x11,86x29
224x97,95x40,17x55
414x88,313x33,275x7
64x95,523x71,165x13
124x63,171x99,8x67
454x0,368x64,14x71
374x41,449x36,41x57
378x95,82x0,204x35
483x6,510x61,261x78
4x68,213x88,391x31
270x40,102x32,303x8
397x80,178x22,532x15
212x18,67x81,73x4
504x66,143x67,246x75
102x23,160x47,469x81
74x52,178x27,27x17
148x15,219x98,428x11
313x38,450x53,143x96
428x62,48x6,10x52
198x91,346x99,331x91
49x24,130x47,369x57
219x100,400x53,517x100
71x87,359x91,381x37
418x28,302x65,400x57
324x12,456x0,103x81
258x17,225x11,50x83
46x1,134x39,454x34
445x36,179x72,255x96
456x80,229x16,333x25
412x98,143x96,174x37
438x62,225x44,229x81
16x46,372x74,38x60
14x92,200x60,157x73
175x38,241x51,502x22
360x74,404x35,360x81
335x59,518x98,320x78
164x11,171x51,164x81
257x89,240x26,108x80
2x77,465x50,244x11
506x74,66x72,119x55
363x57,122x29,518x24
270x92,488x88,284x15
503x0,526x22,354x97
365x5,307x26,498x100
363x98,473x87,136x27
360x16,64x47,139x7
327x92,140x50,253x18
230x20,162x47,539x89
339x39,96x84,475x88
463x61,222x100,246x89
83x92,347x13,130x27
546x93,183x84,112x99
316x76,530x90,211x33
499x68,125x27,375x24
443x26,189x32,79x15
150x68,39x94,50x60
346x20,29x22,282x63
190x9,54x47,445x34
119x54,205x49,176x16
85x3,379x2,518x71
517x92,542x45,312x79
393x63,419x74,13x2
492x68,308x14,501x91
19x23,112x88,309x72
514x22,164x95,252x2
452x50,417x71,19x86
80x67,273x24,107x97
228x98,377x39,357x88
293x8,14x15,208x51
55x45,256x34,433x83
84x84,172x83,446x19
143x3,349x100,35x90
13x79,271x62,534x93
116x64,263x53,422x13
8x58,3x43,210x63
0x77,246x13,549x64
35x53,515x55,102x14
536x95,81x67,440x7
464x84,416x24,538x4
523x54,33x42,40x28
378x73,523x47,230x14
146x68,72x91,265x73
69x73,506x49,285x80
64x28,415x25,177x85
72x40,448x78,61x97
359x45,61x61,327x48
250x87,137x18,74x16
422x37,271x76,256x55
527x31,154x74,437x88
320x15,304x96,529x1
173x70,330x23,51x51
75x76,13x55,487x33
319x24,270x52,207x20
267x63,18x80,157x34
173x70,42x52,336x12
221x18,28x98,69x37
433x39,438x15,198x40
11x56,183x43,112x68
193x18,145x82,25x2
488x55,38x93,28x44
484x40,312x1,153x37
111x96,232x76,510x27
444x87,189x63,83x59
102x78,49x43,494x43
8x74,18x90,39x64
121x37,133x20,437x71
540x4,83x54,473x33
260x23,347x54,444x77
126x57,11x72,395x93
486x96,176x72,68x28
492x79,14x96,301x63
546x25,50x17,446x42
465x73,22x43,190x73
435x57,227x67,57x40
97x38,120x72,283x31
70x4,320x7,379x77
350x23,441x77,423x67
237x7,49x15,548x32
549x15,498x18,386x61
51x51,43x10,64x54
32x65,528x62,195x7
66x29,50x6,135x58
159x87,322x57,449x81
125x90,225x42,401x15
330x61,318x39,318x29
317x25,40x30,399x95
278x47,281x92,190x86
457x10,128x41,228x30
169x0,484x46,399x76
188x84,227x56,371x16
371x56,432x59,480x62
466x2,473x18,97x14
14x72,361x36,134x38
45x86,500x90,410x74
287x77,369x53,9x70
141x74,51x30,262x57
387x50,155x4,110x23
43x12,112x81,470x85
330x54,341x18,11x41
393x86,279x25,142x52
464x10,338x55,13x66
395x38,205x81,116x81
423x26,353x65,336x95
318x80,421x5,534x33
338x43,219x35,496x18
501x69,395x93,200x60
91x13,430x74,215x82
516x81,513x88,164x61
454x42,104x57,375x63
104x59,60x73,215x89
159x49,535x20,226x98
221x70,358x63,380x49
93x46,416x85,377x12
463x53,43x34,286x95
351x92,445x9,370x41
158x7,212x84,304x21
206x32,77x48,430x17
217x91,4x57,52x28
363x17,1x4,226x86
390x61,263x19,482x38
477x33,448x5,372x37
534x89,271x47,433x55
282x75,476x6,234x80
113x60,290x99,323x58
327x40,534x80,155x35
316x93,13x19,496x94
315x13,262x84,471x44
180x97,152x66,432x8
196x98,141x65,282x10
192x21,152x97,497x67
254x95,493x7,362x21
180x78,327x8,482x11
327x27,81x73,101x34
416x63,245x21,62x39
250x83,21x55,479x11
264x96,326x99,206x23
20x86,545x25,436x8
308x2,215x38,424x3
296x99,125x84,142x48
202x27,378x87,106x30
75x76,394x33,531x31
111x62,429x4,115x95
70x93,250x1,290x38
125x100,388x98,90x91
97x20,78x44,308x40
207x79,539x74,357x7
119x13,302x67,125x89
536x5,346x29,267x22
310x73,71x82,508x89
81x94,235x100,41x72
455x85,8x60,453x70
79x19,212x33,284x35
459x58,163x28,409x95
503x56,353x29,334x87
404x1,424x13,193x12
392x40,361x83,131x31
312x80,432x43,209x16
440x53,295x48,270x50
200x33,454x71,285x79
33x36,188x4,520x80
159x27,320x72,16x100
518x88,71x12,536x71
382x96,179x57,253x63
487x3,297x85,486x24
12x26,462x85,90x75
428x48,473x29,388x66
208x28,524x92,213x22
163x34,146x35,439x73
373x66,200x40,237x15
509x37,452x100,185x58
56x46,392x76,381x30
424x45,198x49,166x90
412x47,3x82,159x61
411x21,387x25,316x18
151x4,176x54,534x23
68x100,448x64,141x6
204x34,65x1,171x85
85x47,4x64,131x84
167x15,205x16,266x22
290x74,264x67,41x1
226x12,258x7,327x12
251x1,321x18,306x4
301x75,24x37,308x18
188x39,390x20,212x55
48x55,523x47,144x0
38x23,329x29,88x94
527x36,425x76,306x18
425x42,493x76,115x92
408x5,547x85,523x8
359x11,532x75,318x47
118x85,197x5,376x73
507x1,134x21,304x16
452x92,354x26,137x28
442x1,106x30,51x98
104x89,505x52,135x23
244x73,17x38,200x9
228x12,141x6,123x12
400x9,186x9,243x85
332x87,504x28,493x61
146x50,33x22,183x37
461x60,30x53,154x12
185x48,45x63,29x97
400x12,31x79,158x98
195x4,237x70,483x52
221x32,295x51,29x56
415x70,378x11,0x78
126x80,192x67,360x61
180x12,438x16,76x42
77x11,402x70,172x81
404x69,134x42,529x17
253x42,246x81,82x100
435x63,545x71,529x63
288x69,499x36,439x27
395x38,442x94,64x59
460x49,18x28,351x63
77x8,409x81,158x38
173x2,423x36,22x58
274x85,205x80,370x0
80x78,118x38,396x66
140x35,30x86,226x9
83x62,235x53,100x46
243x25,465x83,490x54
3x91,295x77,150x85
355x8,252x36,205x58
355x63,500x58,127x8
373x89,75x14,75x55
458x19,31x21,402x15
85x61,460x46,202x64
174x2,153x30,274x44
213x24,489x28,507x45
155x8,380x50,402x31
100x72,175x13,356x22
149x96,338x26,170x52
189x34,273x59,152x22
62x16,442x93,512x38
193x86,546x61,544x0
117x76,4x20,503x7
32x73,369x94,288x96
203x71,164x75,224x63
504x36,320x36,182x39
310x15,379x33,199x66
247x32,381x32,372x13
176x33,318x80,134x11
237x50,306x87,283x54
29x6,218x27,474x82
256x83,434x9,414x9
295x58,215x73,158x76
330x25,268x91,431x23
229x37,54x15,143x52
3x12,405x43,172x23
255x50,157x90,263x88
42x29,493x64,190x66
138x29,129x3,116x9
204x100,242x27,206x38
373x61,6x96,477x58
53x57,251x12,168x86
353x78,295x100,155x44
332x96,53x14,217x6
255x88,260x71,74x8
212x5,222x93,296x66
338x61,479x9,56x16
514x0,214x66,319x47
473x81,314x13,329x5
485x4,486x98,430x86
151x73,364x51,417x22
369x44,22x80,504x53
328x83,412x86,430x29
315x21,155x46,384x33
341x26,546x88,405x63
503x27,471x23,128x70
458x41,99x99,242x84
33x14,171x36,241x39
133x48,316x70,299x78
52x14,318x96,81x80
376x30,429x28,311x90
367x89,287x2,482x50
427x89,103x10,462x68
234x93,470x0,321x86
206x51,475x25,532x4
189x88,173x65,261x76
88x64,155x66,60x40
194x13,384x54,135x56
312x64,496x59,90x2
488x72,417x99,281x71
40x35,514x99,462x19
537x19,242x49,184x13
234x2,121x58,511x30
504x65,422x4,324x49
370x50,124x48,117x60
176x98,380x60,203x83
268x51,45x53,279x78
495x33,441x19,356x59
228x41,140x52,42x11
331x52,505x30,519x78
208x18,111x79,41x43
220x44,463x24,345x7
192x82,290x6,245x92
475x67,37x28,512x15
548x70,416x54,2x60
194x63,358x19,284x43
49x79,137x33,231x8
367x17,238x91,530x83
476x14,473x33,377x42
425x11,485x24,504x55
456x28,470x32,196x95
410x84,527x62,257x92
240x64,378x86,503x73
62x80,283x69,266x81
39x0,531x44,120x91
372x73,423x80,504x83
164x100,219x90,77x77
105x32,303x13,450x72
509x0,303x50,251x53
367x54,362x90,169x68
545x85,423x46,280x96
374x57,351x44,180x94
267x40,489x65,489x96
337x75,5x32,220x70
261x51,202x22,324x50
170x54,268x51,434x23
234x13,190x53,165x100
416x81,305x81,258x9
215x4,46x58,217x14
345x16,81x32,473x7
64x41,461x45,14x13
195x25,509x94,322x99
303x82,143x41,484x52
475x11,203x36,428x25
348x76,353x96,203x30
134x83,536x7,104x21
22x19,342x31,183x26
126x41,529x89,536x87
364x78,39x61,363x91
292x6,178x68,57x52
276x15,175x53,113x49
295x99,82x21,500x69
197x57,272x38,347x27
181x7,348x24,437x25
61x2,357x86,460x71
357x97,25x2,426x49
519x68,434x0,456x78
26x18,227x44,235x93
141x90,47x87,368x39
213x84,25x15,155x71
319x84,61x88,501x2
514x22,73x53,367x25
505x79,286x48,242x93
318x40,186x43,237x72
255x9,295x9,508x39
105x16,416x29,282x98
144x54,469x0,345x48
433x6,242x48,243x67
424x2,412x60,7x11
52x70,425x2,219x47
251x96,405x79,109x92
546x93,131x12,437x39
268x27,14x25,204x28
54x97,411x76,120x9
494x55,423x15,363x28
286x17,502x72,415x27
156x29,71x66,109x96
459x31,117x5,409x29
126x91,324x77,132x44
493x47,83x40,237x77
284x25,343x29,238x9
161x9,129x86,141x37
271x51,52x12,204x86
423x45,287x21,23x93
261x74,429x34,275x6
46x37,424x62,342x3
5x37,326x34,381x77
19x90,263x20,332x74
318x62,115x56,59x4
508x22,94x5,279x36
166x60,526x89,509x62
542x41,87x47,176x19
131x86,372x100,281x28
528x93,219x33,432x83
436x83,370x80,328x25
470x40,108x22,210x16
535x23,356x39,175x99
176x72,310x16,445x31
231x35,494x61,154x94
378x98,409x60,510x75
476x75,32x83,83x11
260x92,411x37,10x25
501x27,151x76,313x60
329x12,400x77,81x18
65x70,67x24,440x96
17x75,512x69,261x6
497x66,436x26,526x39
313x31,491x27,288x47
240x62,284x3,228x55
90x79,424x97,503x13
484x64,4x100,379x66
327x47,169x79,100x13
215x53,366x100,181x37
